name   income       expend     time            
RMB    372662.50    132965.00  2018-01-01 00:00
USD    32624.00     123136.00  2018-01-01 00:00
JPY    1984716.00   134131.00  2018-01-01 00:00
EUR    97804.59     150895.00  2018-01-01 00:00
RMB    361208.20    132965.00  2018-01-01 00:01
USD    33472.53     123136.00  2018-01-01 00:01
JPY    1678388.92   134131.00  2018-01-01 00:01
EUR    98282.42     150895.00  2018-01-01 00:01
RMB    350795.10    132965.00  2018-01-01 00:02
USD    34307.07     123136.00  2018-01-01 00:02
JPY    1459583.81   134131.00  2018-01-01 00:02
EUR    98744.80     150895.00  2018-01-01 00:02
RMB    341287.49    132965.00  2018-01-01 00:03
USD    35128.16     123136.00  2018-01-01 00:03
JPY    1295479.63   134131.00  2018-01-01 00:03
EUR    99192.55     150895.00  2018-01-01 00:03
RMB    332572.39    132965.00  2018-01-01 00:04
USD    35936.12     123136.00  2018-01-01 00:04
JPY    1167843.54   134131.00  2018-01-01 00:04
EUR    99625.92     150895.00  2018-01-01 00:04
RMB    324554.20    132965.00  2018-01-01 00:05
USD    36731.04     123136.00  2018-01-01 00:05
JPY    1065734.50   134131.00  2018-01-01 00:05
EUR    100046.58    150895.00  2018-01-01 00:05
